trial,span,depth,theta,ideal-span,ideal-depth,ideal-theta,magnitude
modelO-pin-stopper_2_noRotate_left,-0.721,-0.061,5.906,-0.721,0.0,0,0.724
modelO-pin-stopper_1_noRotate_up-left,-0.211,0.171,0.0,0.35,0.199,0,0.272
modelO-pin-stopper_2_noRotate_up-left,-0.296,0.203,1.219,0.355,0.202,0,0.359
modelO-pin-stopper_1_noRotate_rotate-clockwise,-0.077,0.027,12.265,0.0,0.0,12.265,0.082
modelO-pin-stopper_2_noRotate_rotate-clockwise,0.147,0.048,7.005,0.0,0.0,7.005,0.155
modelO-pin-stopper_1_noRotate_rotate-counterClockwise,0.055,-0.176,16.113,0.0,0.0,16.113,0.184
modelO-pin-stopper_2_noRotate_rotate-counterClockwise,-0.03,-0.122,19.179,0.0,0.0,19.179,0.126
modelO-pin-stopper_1_rotateLeft_up,0.034,0.078,1.169,0.0,0.078,15,0.085
modelO-pin-stopper_2_rotateLeft_up,0.066,0.087,1.169,0.0,0.087,15,0.109
modelO-pin-stopper_1_rotateLeft_up-right,0.233,0.139,1.219,0.293,0.167,15,0.271
modelO-pin-stopper_2_rotateLeft_up-right,0.335,0.103,4.657,0.317,0.181,15,0.35
modelO-pin-stopper_1_rotateLeft_right,0.538,-0.132,2.338,0.538,0.0,15,0.554
modelO-pin-stopper_2_rotateLeft_right,0.798,0.034,15.461,0.798,0.0,15,0.799
modelO-pin-stopper_1_rotateLeft_down-right,0.622,-0.446,0.0,0.731,0.416,15,0.765
modelO-pin-stopper_2_rotateLeft_down-right,1.268,-0.128,49.536,1.315,0.749,15,1.274
modelO-pin-stopper_1_rotateLeft_down,-0.008,-0.222,2.338,0.0,-0.222,15,0.222
modelO-pin-stopper_2_rotateLeft_down,-0.004,-0.098,3.545,0.0,-0.098,15,0.098
modelO-pin-stopper_1_rotateLeft_down-left,-1.18,-0.038,35.924,1.005,0.572,15,1.181
modelO-pin-stopper_2_rotateLeft_down-left,-1.324,-0.18,46.685,1.158,0.659,15,1.336
modelO-pin-stopper_1_rotateLeft_left,-0.576,0.026,7.125,-0.576,0.0,15,0.577
modelO-pin-stopper_2_rotateLeft_left,-0.782,-0.111,17.7,-0.782,0.0,15,0.79
