trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm,Differance
modelO-pin-stopper_2_noRotate_down-right,1.202,-0.176,38.089,1.192,0.679,0,1.5198369363245052
modelO-pin-stopper_1_noRotate_down,-0.04,-0.266,0,0,-0.266,0,0.04
modelO-pin-stopper_2_noRotate_down,-0.017,-0.224,2.386,0,-0.224,0,0.058643555952584706
modelO-pin-stopper_1_noRotate_down-left,-0.546,-0.382,1.169,0.583,0.332,0,1.356231106473532
modelO-pin-stopper_2_noRotate_down-left,-1.184,-0.003,41.73,1.205,0.686,0,3.2146971482997855
modelO-pin-stopper_1_noRotate_left,-0.699,0.027,14.292,-0.699,0,0,0.27644245669502954
modelO-pin-stopper_2_noRotate_left,-0.721,-0.061,5.906,-0.721,0,0,0.16407914562278508
modelO-pin-stopper_1_noRotate_up-left,-0.211,0.171,0,0.35,0.199,0,0.5616983176047441
modelO-pin-stopper_2_noRotate_up-left,-0.296,0.203,1.219,0.355,0.202,0,0.672276331630513
modelO-pin-stopper_1_noRotate_rotate-clockwise,-0.077,0.027,12.265,0,0,12.265,0.0815965685553014
modelO-pin-stopper_2_noRotate_rotate-clockwise,0.147,0.048,7.005,0,0,7.005,0.15463828762631845
modelO-pin-stopper_1_noRotate_rotate-counterClockwise,0.055,-0.176,16.113,0,0,16.113,0.1843936007566423
modelO-pin-stopper_2_noRotate_rotate-counterClockwise,-0.03,-0.122,19.179,0,0,19.179,0.12563439019631528
modelO-pin-stopper_1_rotateLeft_up,0.034,0.078,1.169,0,0.078,15,0.27539648884333573
modelO-pin-stopper_2_rotateLeft_up,0.066,0.087,1.169,0,0.087,15,0.3073964888433357
modelO-pin-stopper_1_rotateLeft_up-right,0.233,0.139,1.219,0.293,0.167,15,0.30673560564632596
modelO-pin-stopper_2_rotateLeft_up-right,0.335,0.103,4.657,0.317,0.181,15,0.2605693889185315
modelO-pin-stopper_1_rotateLeft_right,0.538,-0.132,2.338,0.538,0,15,0.35299358988752194
modelO-pin-stopper_2_rotateLeft_right,0.798,0.034,15.461,0.798,0,15,0.04204596785169379
modelO-pin-stopper_1_rotateLeft_down-right,0.622,-0.446,0,0.731,0.416,15,1.130663588926115
modelO-pin-stopper_2_rotateLeft_down-right,1.268,-0.128,49.536,1.315,0.749,15,1.4810254145551154
modelO-pin-stopper_1_rotateLeft_down,-0.008,-0.222,2.338,0,-0.222,15,0.22899358988752197
modelO-pin-stopper_2_rotateLeft_down,-0.004,-0.098,3.545,0,-0.098,15,0.20392746581595045
modelO-pin-stopper_1_rotateLeft_down-left,-1.18,0.572,35.924,1.005,0.572,15,2.5501926926872933
modelO-pin-stopper_2_rotateLeft_down-left,-1.324,-0.18,46.685,1.158,0.659,15,3.172977993174748
modelO-pin-stopper_1_rotateLeft_left,-0.576,0.026,7.125,-0.576,0,15,0.16344467859455344
modelO-pin-stopper_2_rotateLeft_left,-0.782,-0.111,17.7,-0.782,0,15,0.15812388980384692
modelO-pin-stopper_1_rotateLeft_up-left,-0.187,0.096,2.334,0.228,0.13,15,0.637453844830705
modelO-pin-stopper_2_rotateLeft_up-left,-0.13,0.135,1.169,0.301,0.171,15,0.6738973558944897
modelO-pin-stopper_1_rotateRight_up,0.024,0.108,2.386,0,0.108,15,0.2441558318465647
modelO-pin-stopper_2_rotateRight_up,0.012,0.17,3.801,0,0.17,15,0.20745942293084496
modelO-pin-stopper_1_rotateRight_up-right,0.133,0.087,1.169,0.227,0.129,15,0.34435279025320575
modelO-pin-stopper_2_rotateRight_up-right,0.307,0.198,0,0.327,0.186,15,0.28512319537853065
modelO-pin-stopper_1_rotateRight_right,0.847,-0.008,13.173,0.847,0,15,0.0398871654339364
modelO-pin-stopper_2_rotateRight_right,0.795,0.023,6.072,0.795,0,15,0.17882299561805373
modelO-pin-stopper_1_rotateRight_down-right,1.365,-0.121,48.468,1.167,0.665,15,1.3946821592238403
modelO-pin-stopper_2_rotateRight_down-right,1.126,-0.257,25.008,1.261,0.718,15,1.1589743345309675
modelO-pin-stopper_1_rotateRight_down,-0.007,-0.154,2.338,0,-0.154,15,0.22799358988752197
modelO-pin-stopper_2_rotateRight_down,0.077,-0.159,1.169,0,-0.159,15,0.3183964888433357
modelO-pin-stopper_1_rotateRight_down-left,-0.993,-0.241,29.739,1.016,0.578,15,2.4267698330807823
modelO-pin-stopper_2_rotateRight_down-left,-1.334,-0.096,50.933,1.143,0.651,15,3.214336435907252
modelO-pin-stopper_1_rotateRight_left,-0.743,0.028,9.866,-0.743,0,15,0.11760520379738885
modelO-pin-stopper_2_rotateRight_left,-0.581,0.107,16.793,-0.581,0,15,0.1382937534882583
modelO-pin-stopper_1_rotateRight_up-left,-0.171,0.166,2.595,0.214,0.122,15,0.6040142226936843
modelO-pin-stopper_2_rotateRight_up-left,-0.183,0.205,5.956,0.253,0.144,15,0.5980940993992058
modelK-pin_1_noRotate_up,0.089,0.328,1.169,0,0.328,0,0.1094028989558137
modelK-pin_2_noRotate_up,0.096,0.24,1.219,0,0.24,0,0.11727556358181088
modelK-pin_1_noRotate_up-right,0.184,0.195,0,0.237,0.136,0,0.0793095202355934
modelK-pin_2_noRotate_up-right,0.269,0.127,5.743,0.331,0.19,0,0.18862543497222417
modelK-pin_1_noRotate_right,0.845,-0.03,8.294,0.845,0,0,0.1747576081604097
modelK-pin_2_noRotate_right,0.562,-0.05,3.555,0.562,0,0,0.11204645490839843
modelK-pin_1_noRotate_down-right,1.242,-0.187,33.294,1.072,0.616,0,1.401887703807069
modelK-pin_2_noRotate_down-right,1.178,-0.01,40.101,1.078,0.62,0,1.3377816206949285
modelK-pin_1_noRotate_down,0.02,-0.417,1.219,0,-0.417,0,0.04127556358181088
